날짜,종목명,주문,매매가격(원),수량(주),사유,수익률
20170102,한국팩키지(A037230),매수,4585,712,매수로직 매수 - (매수가) 우선순위 : 2,-
20170104,바이오로그디바이스(A208710),매수,3085,1076,매수로직 매수 - (매수가) 우선순위 : 2,-
20170104,한국팩키지(A037230),매도,4820,712.0,날짜지나 매도 : 20170102 ~ 20170104 설정가격매도,5.125408942202835%
20170106,이엠넷(A123570),매수,3405,960,매수로직 매수 - (매수가) 우선순위 : 1,-
20170106,바이오로그디바이스(A208710),매도,3050,1076,날짜지나 매도 : 20170104 ~ 20170106 설정가격매도,-1.1345218800648298%
20170110,능률교육(A053290),매수,7460,444,매수로직 매수 - (매수가) 우선순위 : 1,-
20170110,와이비엠넷(A057030),매수,12500,265,매수로직 매수 - (매수가) 우선순위 : 2,-
20170110,이엠넷(A123570),매도,3455,960,날짜지나 매도 : 20170106 ~ 20170110 설정가격매도,1.4684287812041115%
20170111,에스코넥(A096630),매수,3070,1076,매수로직 매수 - (매수가) 우선순위 : 1,-
20170112,능률교육(A053290),매도,7480,444.0,날짜지나 매도 : 20170110 ~ 20170112 설정가격매도,0.2680965147453083%
20170112,와이비엠넷(A057030),매도,11850,265,날짜지나 매도 : 20170110 ~ 20170112 설정가격매도,-5.2%
20170113,한국팩키지(A037230),매수,4870,678.0,매수로직 매수 - (매수가) 우선순위 : 1,-
20170113,에스코넥(A096630),매도,3210,1076.0,날짜지나 매도 : 20170111 ~ 20170113 설정가격매도,4.5602605863192185%
20170116,고려산업(A002140),매수,7270,446,매수로직 매수 - (매수가) 우선순위 : 1,-
20170117,동양물산(A002900),매수,4705,688,매수로직 매수 - (매수가) 우선순위 : 1,-
20170117,한국팩키지(A037230),매도,4440,678,날짜지나 매도 : 20170113 ~ 20170117 설정가격매도,-8.829568788501026%
20170118,고려산업(A002140),매도,7740,446,날짜지나 매도 : 20170116 ~ 20170118 설정가격매도,6.464924346629987%
20170119,이구산업(A025820),매수,2970,1090.0,매수로직 매수 - (매수가) 우선순위 : 2,-
20170119,동양물산(A002900),매도,4580,688,날짜지나 매도 : 20170117 ~ 20170119 설정가격매도,-2.6567481402763016%
20170123,와이엠씨(A155650),매수,5713,561,매수로직 매수 - (매수가) 우선순위 : 1,-
20170123,이구산업(A025820),매도,2900,1090,날짜지나 매도 : 20170119 ~ 20170123 설정가격매도,-2.356902356902357%
20170124,케이씨에스(A115500),매수,7900,402,매수로직 매수 - (매수가) 우선순위 : 1,-
20170124,서산(A079650),매수,8410,374,매수로직 매수 - (매수가) 우선순위 : 2,-
20170125,와이엠씨(A155650),매도,5763,561.0,날짜지나 매도 : 20170123 ~ 20170125 설정가격매도,0.875196919306844%
20170126,디젠스(A113810),매수,2263,1312,매수로직 매수 - (매수가) 우선순위 : 1,-
20170126,케이씨에스(A115500),매도,6717,402.0,날짜지나 매도 : 20170124 ~ 20170126 설정가격매도,-14.974683544303796%
20170126,서산(A079650),매도,7800,374,날짜지나 매도 : 20170124 ~ 20170126 설정가격매도,-7.253269916765754%
20170131,디비케이(A073190),매수,4075,741,매수로직 매수 - (매수가) 우선순위 : 1,-
20170131,디젠스(A113810),매도,2604,1312.0,목표가매도,15.068493150684931%
20170201,대주산업(A003310),매수,2525,1245.0,매수로직 매수 - (매수가) 우선순위 : 2,-
20170201,대주산업(A003310),매도,2905,1245.0,당일목표가매도,15.049504950495049%
20170202,KD건설(A044180),매수,287,11031,매수로직 매수 - (매수가) 우선순위 : 2,-
20170203,대주산업(A003310),매수,3455,928,매수로직 매수 - (매수가) 우선순위 : 1,-
20170203,디비케이(A073190),매도,4070,741,날짜지나 매도 : 20170131 ~ 20170203 설정가격매도,-0.1226993865030675%
20170203,KD건설(A044180),매도,330,11031.0,목표가매도,14.982578397212542%
20170207,SG&G(A040610),매수,4980,696,매수로직 매수 - (매수가) 우선순위 : 1,-
20170207,에치디프로(A214870),매수,4156,833.0,매수로직 매수 - (매수가) 우선순위 : 2,-
20170208,대주산업(A003310),매도,3335,928.0,날짜지나 매도 : 20170203 ~ 20170208 설정가격매도,-3.4732272069464547%
20170209,에치디프로(A214870),매도,4185,833.0,날짜지나 매도 : 20170207 ~ 20170209 설정가격매도,0.697786333012512%
20170210,KD건설(A044180),매수,453,7445,매수로직 매수 - (매수가) 우선순위 : 1,-
20170210,KD건설(A044180),매도,520,7445,당일목표가매도,14.79028697571744%
20170210,디젠스(A113810),매수,3044,1107,매수로직 매수 - (매수가) 우선순위 : 2,-
20170210,SG&G(A040610),매도,4950,696,날짜지나 매도 : 20170207 ~ 20170210 설정가격매도,-0.6024096385542169%
20170213,디젠스(A113810),매도,3501,1107.0,목표가매도,15.013140604467806%
20170214,SG&G(A040610),매수,6070,607,매수로직 매수 - (매수가) 우선순위 : 1,-
20170214,이원컴포텍(A088290),매수,4381,841.0,매수로직 매수 - (매수가) 우선순위 : 2,-
20170216,에치디프로(A214870),매수,4670,808,매수로직 매수 - (매수가) 우선순위 : 1,-
20170216,SG&G(A040610),매도,6420,607,날짜지나 매도 : 20170214 ~ 20170216 설정가격매도,5.766062602965404%
20170216,이원컴포텍(A088290),매도,4510,841,날짜지나 매도 : 20170214 ~ 20170216 설정가격매도,2.944533211595526%
20170217,두올산업(A078590),매수,2960,1283.0,매수로직 매수 - (매수가) 우선순위 : 1,-
20170220,에치디프로(A214870),매도,4670,808.0,날짜지나 매도 : 20170216 ~ 20170220 설정가격매도,0.0%
20170220,두올산업(A078590),매도,3404,1283.0,목표가매도,15.0%
20170221,텔콘(A200230),매수,5100,777,매수로직 매수 - (매수가) 우선순위 : 2,-
20170222,위즈코프(A038620),매수,2700,1482.0,매수로직 매수 - (매수가) 우선순위 : 1,-
20170222,메이슨캐피탈(A021880),매수,867,4617,매수로직 매수 - (매수가) 우선순위 : 2,-
20170223,텔콘(A200230),매도,5270,777,날짜지나 매도 : 20170221 ~ 20170223 설정가격매도,3.3333333333333335%
20170224,에프알텍(A073540),매수,3910,1013,매수로직 매수 - (매수가) 우선순위 : 1,-
20170224,위즈코프(A038620),매도,2828,1482.0,날짜지나 매도 : 20170222 ~ 20170224 설정가격매도,4.7407407407407405%
20170224,메이슨캐피탈(A021880),매도,823,4617,날짜지나 매도 : 20170222 ~ 20170224 설정가격매도,-5.074971164936563%
20170228,에프알텍(A073540),매도,3620,1013,날짜지나 매도 : 20170224 ~ 20170228 설정가격매도,-7.41687979539642%
20170303,아남전자(A008700),매수,1720,2247,매수로직 매수 - (매수가) 우선순위 : 1,-
20170306,KNN(A058400),매수,1360,2918,매수로직 매수 - (매수가) 우선순위 : 1,-
20170307,아남전자(A008700),매도,1900,2247,날짜지나 매도 : 20170303 ~ 20170307 설정가격매도,10.465116279069768%
20170307,KNN(A058400),매도,1565,2918.0,목표가매도,15.073529411764705%
20170308,KD건설(A044180),매수,415,10137.0,매수로직 매수 - (매수가) 우선순위 : 1,-
20170310,DSR제강(A069730),매수,16700,255,매수로직 매수 - (매수가) 우선순위 : 1,-
20170310,DSR제강(A069730),매도,19250,255,당일목표가매도,15.269461077844312%
20170310,우성사료(A006980),매수,4300,964,매수로직 매수 - (매수가) 우선순위 : 2,-
20170310,우성사료(A006980),매도,5000,964,당일목표가매도,16.27906976744186%
20170310,KD건설(A044180),매도,431,10137,날짜지나 매도 : 20170308 ~ 20170310 설정가격매도,3.8554216867469884%
20170313,케이씨에스(A115500),매수,7950,586,매수로직 매수 - (매수가) 우선순위 : 1,-
20170313,KD건설(A044180),매수,484,9664.0,매수로직 매수 - (매수가) 우선순위 : 2,-
20170313,세우글로벌(A013000),매수,3555,1304,매수로직 매수 - (매수가) 우선순위 : 3,-
20170314,세우글로벌(A013000),매도,4089,1304.0,목표가매도,15.021097046413502%
20170315,티에스인베스트먼트(A246690),매수,5770,846,매수로직 매수 - (매수가) 우선순위 : 1,-
