날짜,종목명,주문,매매가격(원),수량(주),사유,수익률
20100105,에이텍(A045660),매수,4245,769,매수로직 매수 - (매수가)  우선순위 : 1,-
20100105,네오디안테크놀로지(A072770),매수,3590,910,매수로직 매수 - (매수가)  우선순위 : 2,-
20100106,유라테크(A048430),매수,4465,731,매수로직 매수 - (매수가)  우선순위 : 1,-
20100107,에이텍(A045660),매도,4030,769,날짜지나 매도 (전일종가) : 2010/01/05 ~ 2010/01/07 ,-5.064782096584216%
20100107,네오디안테크놀로지(A072770),매도,3520,910,날짜지나 매도 (전일종가) : 2010/01/05 ~ 2010/01/07 ,-1.9498607242339834%
20100107,유라테크(A048430),매도,5140,731,목표가 매도,15.11758118701008%
20100108,이수앱지스(A086890),매수,20750,161,매수로직 매수 - (매수가)  우선순위 : 1,-
20100108,유라테크(A048430),매수,5170,646,매수로직 매수 - (매수가)  우선순위 : 2,-
20100108,엘오티베큠(A083310),매수,3110,1074,매수로직 매수 - (매수가)  우선순위 : 3,-
20100112,이수앱지스(A086890),매도,17912,161,날짜지나 매도 (전일종가) : 2010/01/08 ~ 2010/01/12 ,-13.677108433734938%
20100112,유라테크(A048430),매도,4255,646,날짜지나 매도 (전일종가) : 2010/01/08 ~ 2010/01/12 ,-17.69825918762089%
20100112,엘오티베큠(A083310),매도,3263,1074,날짜지나 매도 (전일종가) : 2010/01/08 ~ 2010/01/12 ,4.919614147909968%
20100113,아이엠(A101390),매수,6830,445,매수로직 매수 - (매수가)  우선순위 : 1,-
20100113,예스24(A053280),매수,13150,231,매수로직 매수 - (매수가)  우선순위 : 2,-
20100113,아이컴포넌트(A059100),매수,9210,330,매수로직 매수 - (매수가)  우선순위 : 3,-
20100115,아이엠(A101390),매도,7031,445,날짜지나 매도 (전일종가) : 2010/01/13 ~ 2010/01/15 ,2.94289897510981%
20100115,예스24(A053280),매도,12200,231,날짜지나 매도 (전일종가) : 2010/01/13 ~ 2010/01/15 ,-7.224334600760455%
20100115,아이컴포넌트(A059100),매도,8470,330,날짜지나 매도 (전일종가) : 2010/01/13 ~ 2010/01/15 ,-8.034744842562432%
20100118,메디포스트(A078160),매수,25350,114,매수로직 매수 - (매수가)  우선순위 : 3,-
20100119,배명금속(A011800),매수,1335,2165,매수로직 매수 - (매수가)  우선순위 : 1,-
20100120,메디포스트(A078160),매도,24663,114,날짜지나 매도 (전일종가) : 2010/01/18 ~ 2010/01/20 ,-2.710059171597633%
20100121,배명금속(A011800),매도,1532,2165,날짜지나 매도 (전일종가) : 2010/01/19 ~ 2010/01/21 ,14.756554307116104%
20100125,비츠로테크(A042370),매수,10050,300,매수로직 매수 - (매수가)  우선순위 : 1,-
